order_id,customer_id,order_date,amount,category,channel,state
246,10059,2024-02-04,632.38,Fashion,Organic,UP
173,10041,2024-02-04,1006.78,Grocery,Social,KA
2209,10474,2024-02-05,530.7,Electronics,Organic,TN
1728,10377,2024-02-05,533.08,Fashion,Paid,MH
2178,10470,2024-02-06,1555.71,Beauty,Social,TN
2834,10605,2024-02-06,554.14,Home,Organic,TS
1568,10347,2024-02-06,531.47,Fashion,Organic,WB
4828,11021,2024-02-06,234.73,Home,Social,GJ
4186,10892,2024-02-06,935.28,Fashion,Organic,UP
1570,10347,2024-02-07,476.18,Beauty,Organic,RJ
565,10123,2024-02-07,1069.05,Fashion,Paid,TN
3113,10668,2024-02-08,1173.39,Grocery,Organic,TN
5539,11173,2024-02-08,433.06,Home,Organic,RJ
3314,10715,2024-02-08,1714.43,Fashion,Organic,KL
2230,10479,2024-02-08,237.02,Grocery,Organic,WB
4467,10942,2024-02-08,417.04,Home,Organic,MH
3474,10750,2024-02-09,699.94,Accessories,Paid,KA
2496,10537,2024-02-09,495.03,Electronics,Organic,KL
4563,10966,2024-02-09,1088.52,Fashion,Organic,GJ
604,10129,2024-02-10,693.84,Fashion,Organic,KL
572,10124,2024-02-10,1142.33,Home,Referral,WB
3651,10788,2024-02-10,1271.14,Electronics,Organic,WB
4441,10939,2024-02-10,170.67,Electronics,Referral,GJ
203,10049,2024-02-11,301.93,Accessories,Organic,GJ
698,10148,2024-02-11,436.69,Home,Social,KL
4028,10860,2024-02-12,1703.16,Accessories,Organic,TS
4029,10860,2024-02-12,2335.02,Accessories,Referral,KA
4795,11014,2024-02-12,1007.47,Home,Organic,DL
5034,11068,2024-02-12,805.4,Fashion,Paid,WB
324,10074,2024-02-12,1091.56,Fashion,Organic,KL
1646,10364,2024-02-12,1134.84,Fashion,Paid,TS
2399,10516,2024-02-13,1051.37,Fashion,Organic,TN
4413,10936,2024-02-13,848.49,Home,Referral,MH
4322,10919,2024-02-13,886.07,Grocery,Paid,WB
311,10072,2024-02-13,133.38,Fashion,Organic,KA
3141,10674,2024-02-13,1150.57,Home,Social,KA
4796,11014,2024-02-14,801.95,Fashion,Organic,RJ
239,10057,2024-02-14,579.23,Fashion,Organic,KL
5262,11116,2024-02-14,531.66,Electronics,Organic,KA
1329,10302,2024-02-14,2312.05,Grocery,Paid,KA
4545,10962,2024-02-14,301.31,Fashion,Organic,KL
4074,10867,2024-02-15,162.38,Fashion,Paid,TS
2177,10470,2024-02-15,1587.61,Accessories,Organic,TS
2289,10494,2024-02-16,130.34,Electronics,Referral,KA
3650,10788,2024-02-16,388.64,Electronics,Referral,KL
867,10194,2024-02-16,212.85,Electronics,Paid,KL
2369,10509,2024-02-16,1628.64,Accessories,Paid,UP
1291,10296,2024-02-16,1802.73,Grocery,Organic,RJ
3003,10639,2024-02-16,617.38,Home,Paid,MH
4402,10935,2024-02-16,402.85,Fashion,Referral,DL
4172,10888,2024-02-17,270.99,Fashion,Organic,WB
413,10092,2024-02-17,498.9,Beauty,Referral,UP
3618,10781,2024-02-18,868.53,Fashion,Paid,UP
2385,10513,2024-02-18,1244.96,Home,Organic,TN
5059,11072,2024-02-18,654.15,Fashion,Paid,KL
1043,10237,2024-02-18,1812.21,Beauty,Paid,MH
5198,11106,2024-02-18,949.03,Beauty,Paid,KA
571,10124,2024-02-18,837.89,Accessories,Paid,TN
5383,11142,2024-02-18,849.38,Accessories,Paid,KL
2895,10618,2024-02-19,255.0,Fashion,Organic,KL
5396,11143,2024-02-19,370.45,Fashion,Paid,KA
5411,11146,2024-02-19,858.61,Beauty,Paid,MH
1435,10320,2024-02-19,1374.0,Grocery,Paid,KA
5207,11107,2024-02-19,958.26,Beauty,Paid,GJ
1414,10318,2024-02-19,450.37,Grocery,Organic,TS
5540,11173,2024-02-19,628.41,Fashion,Paid,WB
4170,10888,2024-02-19,709.99,Fashion,Paid,DL
1664,10366,2024-02-19,1013.71,Fashion,Paid,RJ
1763,10387,2024-02-20,760.55,Grocery,Paid,KA
1102,10251,2024-02-20,1326.52,Grocery,Organic,RJ
470,10104,2024-02-20,1338.45,Home,Referral,KL
5261,11116,2024-02-20,1446.11,Accessories,Paid,GJ
4138,10881,2024-02-20,878.14,Home,Organic,GJ
1536,10340,2024-02-20,615.05,Fashion,Organic,TN
4171,10888,2024-02-20,445.44,Fashion,Organic,TN
3952,10847,2024-02-21,287.4,Accessories,Organic,KA
287,10065,2024-02-21,569.61,Grocery,Social,RJ
4081,10868,2024-02-21,566.21,Grocery,Organic,WB
667,10143,2024-02-21,672.81,Grocery,Organic,MH
1367,10310,2024-02-21,1639.73,Fashion,Paid,TN
4785,11012,2024-02-21,2207.89,Home,Organic,UP
793,10174,2024-02-22,388.22,Accessories,Paid,WB
1569,10347,2024-02-22,884.3,Grocery,Referral,GJ
1064,10243,2024-02-22,328.07,Electronics,Organic,WB
3934,10844,2024-02-22,1341.48,Electronics,Paid,WB
2564,10550,2024-02-23,354.26,Fashion,Organic,RJ
4075,10867,2024-02-23,618.7,Fashion,Paid,KL
1063,10243,2024-02-23,100.0,Electronics,Organic,KA
4544,10962,2024-02-23,1134.11,Accessories,Organic,KL
3702,10798,2024-02-23,1663.53,Accessories,Organic,KA
5033,11068,2024-02-23,715.24,Home,Paid,RJ
2189,10471,2024-02-23,1158.94,Home,Organic,GJ
3325,10717,2024-02-23,1986.22,Beauty,Paid,DL
1436,10320,2024-02-23,756.31,Accessories,Paid,WB
3819,10818,2024-02-24,654.69,Beauty,Organic,DL
4896,11036,2024-02-25,377.13,Electronics,Organic,TS
1764,10387,2024-02-25,663.88,Home,Paid,TS
1819,10399,2024-02-25,852.78,Grocery,Organic,KA
5206,11107,2024-02-25,1146.36,Electronics,Social,RJ
2513,10542,2024-02-25,428.84,Home,Paid,GJ
4173,10888,2024-02-25,535.32,Home,Social,WB
4349,10925,2024-02-25,255.21,Accessories,Organic,RJ
69,10019,2024-02-26,830.22,Home,Paid,RJ
5035,11068,2024-02-26,989.26,Accessories,Organic,GJ
4931,11043,2024-02-26,343.39,Grocery,Referral,DL
5286,11119,2024-02-26,579.52,Electronics,Paid,TS
3142,10674,2024-02-26,781.17,Beauty,Paid,WB
4414,10936,2024-02-26,529.09,Beauty,Organic,TS
1713,10375,2024-02-26,316.19,Fashion,Paid,UP
5088,11079,2024-02-26,206.97,Grocery,Social,TS
5199,11106,2024-02-26,635.83,Electronics,Organic,TN
5514,11167,2024-02-26,268.56,Beauty,Organic,WB
1567,10347,2024-02-26,490.33,Electronics,Paid,RJ
4022,10858,2024-02-27,1525.64,Accessories,Referral,RJ
792,10174,2024-02-27,957.06,Fashion,Paid,WB
1224,10281,2024-02-27,878.7,Beauty,Referral,MH
564,10123,2024-02-27,948.74,Home,Organic,TN
3313,10715,2024-02-28,2464.47,Home,Referral,WB
4348,10925,2024-02-28,1665.63,Fashion,Organic,WB
478,10105,2024-02-28,954.4,Fashion,Organic,GJ
731,10155,2024-02-28,581.94,Accessories,Paid,KA
3511,10759,2024-02-28,153.78,Fashion,Referral,TN
1485,10329,2024-02-28,930.58,Electronics,Social,KA
1751,10385,2024-02-28,951.19,Fashion,Organic,TN
2796,10596,2024-02-28,564.43,Accessories,Organic,KA
5032,11068,2024-02-28,1188.1,Fashion,Organic,TS
5287,11119,2024-02-28,421.38,Electronics,Social,WB
3533,10762,2024-02-29,190.01,Home,Organic,TN
148,10036,2024-02-29,342.56,Home,Organic,RJ
4297,10914,2024-02-29,270.55,Grocery,Referral,RJ
5494,11164,2024-02-29,443.39,Fashion,Paid,UP
3102,10665,2024-02-29,427.77,Beauty,Referral,DL
1635,10362,2024-02-29,773.1,Beauty,Paid,RJ
4707,10994,2024-02-29,436.07,Grocery,Organic,TS
209,10051,2024-02-29,977.95,Home,Paid,WB
1250,10288,2024-02-29,712.47,Electronics,Paid,UP
1551,10343,2024-02-29,508.22,Fashion,Organic,DL
1022,10233,2024-02-29,1040.73,Grocery,Referral,KA
3233,10698,2024-02-29,892.51,Home,Paid,KL
2400,10516,2024-03-01,348.33,Home,Social,KA
5412,11146,2024-03-01,902.97,Grocery,Paid,WB
1697,10373,2024-03-01,320.12,Electronics,Paid,UP
1547,10342,2024-03-02,746.37,Grocery,Paid,DL
1330,10302,2024-03-02,1415.03,Fashion,Organic,UP
3956,10848,2024-03-02,492.92,Home,Referral,UP
3269,10706,2024-03-02,1023.95,Electronics,Organic,MH
82,10022,2024-03-02,1485.7,Grocery,Organic,TS
1251,10288,2024-03-02,350.52,Beauty,Paid,KA
1419,10319,2024-03-02,571.17,Electronics,Organic,KL
4203,10894,2024-03-02,529.14,Accessories,Referral,WB
1362,10308,2024-03-02,360.55,Accessories,Organic,TN
1541,10341,2024-03-02,1019.79,Grocery,Organic,GJ
2732,10584,2024-03-02,593.03,Grocery,Organic,MH
3315,10715,2024-03-03,264.74,Fashion,Organic,UP
5635,11194,2024-03-03,730.16,Accessories,Social,GJ
2969,10633,2024-03-03,258.3,Electronics,Referral,GJ
2514,10542,2024-03-03,549.95,Home,Social,TN
4669,10986,2024-03-04,671.46,Fashion,Organic,TN
2303,10499,2024-03-04,615.72,Home,Paid,KA
3331,10718,2024-03-04,587.03,Grocery,Paid,TN
1698,10373,2024-03-04,393.54,Grocery,Social,UP
2371,10509,2024-03-04,945.0,Home,Organic,TS
1023,10233,2024-03-04,1444.51,Electronics,Referral,DL
2497,10537,2024-03-04,1036.13,Home,Organic,WB
2304,10499,2024-03-04,3290.03,Grocery,Organic,WB
340,10076,2024-03-04,1094.54,Fashion,Referral,RJ
2940,10627,2024-03-05,122.75,Accessories,Social,UP
5162,11096,2024-03-05,1036.2,Beauty,Paid,RJ
5134,11091,2024-03-05,787.89,Home,Organic,RJ
4076,10867,2024-03-05,254.69,Accessories,Organic,RJ
735,10157,2024-03-05,1401.77,Accessories,Organic,DL
4323,10919,2024-03-06,1339.27,Fashion,Organic,GJ
3339,10721,2024-03-06,362.04,Home,Organic,KA
1478,10328,2024-03-06,1490.95,Fashion,Social,MH
4403,10935,2024-03-06,715.93,Accessories,Organic,MH
3512,10759,2024-03-06,593.74,Fashion,Referral,KA
5447,11154,2024-03-06,1121.3,Fashion,Paid,KA
5263,11116,2024-03-06,1146.93,Grocery,Organic,KL
3749,10805,2024-03-06,357.56,Electronics,Organic,GJ
1467,10325,2024-03-06,442.1,Accessories,Paid,KA
5384,11142,2024-03-06,434.57,Fashion,Paid,TN
1714,10375,2024-03-06,892.42,Electronics,Organic,GJ
4468,10942,2024-03-07,913.22,Accessories,Referral,TN
4219,10898,2024-03-07,392.71,Fashion,Social,KL
5121,11088,2024-03-07,355.05,Fashion,Social,TS
871,10194,2024-03-07,399.98,Accessories,Organic,KA
868,10194,2024-03-07,605.48,Home,Paid,GJ
3229,10697,2024-03-07,1057.9,Beauty,Organic,GJ
3995,10853,2024-03-07,999.56,Electronics,Social,WB
2348,10506,2024-03-07,1328.85,Fashion,Social,UP
3452,10745,2024-03-07,937.06,Grocery,Paid,MH
299,10069,2024-03-07,1089.21,Home,Organic,TS
2023,10441,2024-03-08,100.0,Beauty,Paid,TS
1790,10392,2024-03-08,1258.64,Fashion,Paid,TN
1466,10325,2024-03-08,288.54,Home,Organic,KL
3601,10778,2024-03-08,333.73,Home,Organic,TN
368,10081,2024-03-08,367.34,Fashion,Social,GJ
5636,11194,2024-03-08,771.91,Beauty,Organic,UP
3594,10777,2024-03-08,960.56,Electronics,Organic,DL
4385,10932,2024-03-08,860.68,Fashion,Social,KA
4844,11024,2024-03-08,620.04,Home,Paid,TS
3154,10676,2024-03-09,212.95,Beauty,Paid,KL
2370,10509,2024-03-09,1027.37,Fashion,Organic,KL
3800,10814,2024-03-09,1285.94,Fashion,Organic,MH
2057,10446,2024-03-09,246.42,Home,Paid,KA
3957,10848,2024-03-09,942.83,Fashion,Paid,KA
3728,10802,2024-03-10,408.62,Grocery,Referral,RJ
3652,10788,2024-03-10,1952.24,Electronics,Organic,RJ
743,10159,2024-03-10,216.53,Fashion,Referral,UP
103,10027,2024-03-10,204.81,Fashion,Organic,MH
3599,10778,2024-03-11,809.62,Fashion,Organic,WB
1630,10360,2024-03-11,376.42,Grocery,Paid,TN
2180,10470,2024-03-11,931.67,Grocery,Organic,TS
3994,10853,2024-03-11,1072.85,Electronics,Social,UP
1082,10247,2024-03-12,692.87,Fashion,Paid,KA
4448,10940,2024-03-12,1050.65,Beauty,Paid,MH
1355,10306,2024-03-12,665.55,Fashion,Paid,KL
355,10078,2024-03-12,1030.49,Grocery,Organic,GJ
5458,11156,2024-03-12,631.28,Electronics,Paid,TN
3469,10749,2024-03-12,1163.01,Grocery,Referral,TN
3046,10650,2024-03-13,1759.11,Electronics,Referral,UP
1065,10243,2024-03-13,147.24,Grocery,Organic,TN
2210,10474,2024-03-13,810.03,Fashion,Organic,UP
3935,10844,2024-03-13,943.33,Electronics,Organic,GJ
3967,10850,2024-03-13,1593.66,Beauty,Organic,WB
1420,10319,2024-03-13,1200.0,Electronics,Paid,WB
4709,10994,2024-03-13,337.1,Electronics,Social,DL
5397,11143,2024-03-13,922.01,Accessories,Paid,DL
3119,10670,2024-03-14,1878.37,Electronics,Organic,RJ
5133,11091,2024-03-14,291.26,Electronics,Organic,MH
2731,10584,2024-03-14,484.76,Grocery,Organic,DL
2835,10605,2024-03-14,630.95,Beauty,Social,TN
3468,10749,2024-03-14,1265.51,Electronics,Paid,RJ
1394,10315,2024-03-14,343.39,Grocery,Paid,UP
869,10194,2024-03-15,168.63,Home,Paid,TS
2083,10451,2024-03-15,473.12,Grocery,Social,TS
4694,10991,2024-03-15,621.53,Home,Organic,TS
4708,10994,2024-03-16,929.73,Beauty,Paid,TS
2129,10460,2024-03-16,781.51,Electronics,Organic,KL
479,10105,2024-03-16,2933.21,Accessories,Referral,DL
4802,11015,2024-03-16,309.49,Fashion,Organic,TS
2095,10452,2024-03-16,565.08,Electronics,Organic,DL
3266,10705,2024-03-16,470.39,Fashion,Social,RJ
4449,10940,2024-03-16,579.16,Accessories,Organic,TN
5355,11137,2024-03-17,228.7,Electronics,Organic,TN
5574,11181,2024-03-17,696.74,Electronics,Social,DL
5452,11155,2024-03-17,962.69,Beauty,Referral,TS
2905,10619,2024-03-17,986.41,Home,Referral,TS
4416,10936,2024-03-17,649.53,Grocery,Social,TS
2347,10506,2024-03-17,2698.53,Accessories,Organic,RJ
60,10018,2024-03-17,770.04,Fashion,Organic,KA
1317,10300,2024-03-17,100.0,Fashion,Referral,UP
870,10194,2024-03-17,1225.4,Grocery,Organic,KL
2084,10451,2024-03-17,418.03,Fashion,Paid,MH
4447,10940,2024-03-17,744.3,Fashion,Social,KA
4112,10874,2024-03-17,549.46,Accessories,Social,UP
1081,10247,2024-03-18,525.03,Fashion,Organic,UP
5061,11072,2024-03-18,882.97,Grocery,Referral,UP
1437,10320,2024-03-18,834.5,Beauty,Organic,GJ
3475,10750,2024-03-18,1043.19,Electronics,Social,GJ
2874,10612,2024-03-18,589.04,Home,Paid,TN
5549,11175,2024-03-18,1700.15,Fashion,Referral,RJ
127,10032,2024-03-18,443.28,Home,Organic,GJ
5036,11068,2024-03-18,993.5,Beauty,Paid,UP
37,10010,2024-03-19,1440.95,Fashion,Organic,UP
3727,10802,2024-03-19,387.96,Fashion,Social,TN
1832,10402,2024-03-19,674.6,Fashion,Referral,WB
197,10048,2024-03-19,170.07,Home,Organic,UP
2565,10550,2024-03-19,222.48,Grocery,Referral,UP
1332,10302,2024-03-19,636.83,Electronics,Organic,WB
5405,11144,2024-03-19,131.11,Home,Social,DL
2896,10618,2024-03-19,470.28,Accessories,Organic,MH
5060,11072,2024-03-19,697.14,Electronics,Social,TN
2573,10552,2024-03-20,553.36,Fashion,Referral,DL
300,10069,2024-03-20,1188.74,Fashion,Organic,WB
1166,10267,2024-03-20,959.38,Fashion,Social,UP
3600,10778,2024-03-20,509.23,Home,Organic,KL
3722,10801,2024-03-20,979.93,Grocery,Referral,KL
4691,10990,2024-03-20,857.96,Grocery,Paid,TS
2335,10504,2024-03-20,365.52,Fashion,Paid,GJ
4415,10936,2024-03-20,1263.51,Home,Organic,KA
406,10091,2024-03-20,1189.56,Grocery,Referral,KA
709,10151,2024-03-20,606.87,Grocery,Social,GJ
3126,10672,2024-03-20,137.92,Electronics,Paid,RJ
457,10102,2024-03-21,437.39,Beauty,Paid,WB
4745,11003,2024-03-21,1100.54,Beauty,Social,MH
4070,10866,2024-03-21,1204.88,Fashion,Referral,GJ
4324,10919,2024-03-21,616.72,Home,Paid,TN
3326,10717,2024-03-21,798.44,Grocery,Paid,UP
3143,10674,2024-03-21,545.87,Accessories,Social,KA
936,10212,2024-03-21,1383.2,Home,Organic,WB
2945,10628,2024-03-21,732.78,Electronics,Organic,TN
3901,10838,2024-03-21,630.71,Home,Organic,DL
2179,10470,2024-03-21,730.48,Home,Paid,TS
2058,10446,2024-03-21,374.71,Fashion,Organic,TN
5371,11140,2024-03-21,736.04,Home,Organic,TS
734,10157,2024-03-21,1508.14,Beauty,Paid,MH
967,10221,2024-03-22,475.5,Home,Paid,WB
1145,10262,2024-03-22,725.16,Fashion,Organic,DL
3671,10793,2024-03-22,465.95,Fashion,Referral,KL
1146,10262,2024-03-22,664.14,Electronics,Organic,GJ
1699,10373,2024-03-22,275.84,Fashion,Referral,WB
2372,10509,2024-03-22,560.33,Accessories,Organic,UP
1465,10325,2024-03-23,652.7,Accessories,Paid,GJ
2096,10452,2024-03-23,1206.16,Fashion,Referral,RJ
4791,11013,2024-03-23,623.01,Accessories,Organic,UP
1691,10372,2024-03-23,962.24,Fashion,Paid,DL
3695,10797,2024-03-23,529.32,Beauty,Social,TN
1875,10412,2024-03-23,306.31,Accessories,Organic,UP
1010,10229,2024-03-23,994.29,Fashion,Paid,DL
4005,10854,2024-03-23,629.72,Fashion,Referral,TS
794,10174,2024-03-23,2418.11,Grocery,Organic,KL
253,10060,2024-03-24,1814.96,Electronics,Organic,TS
5135,11091,2024-03-24,783.23,Home,Organic,TN
4012,10856,2024-03-24,1421.38,Electronics,Referral,WB
1677,10369,2024-03-24,1625.59,Home,Social,DL
1415,10318,2024-03-24,206.22,Fashion,Social,TS
2836,10605,2024-03-24,201.2,Electronics,Paid,GJ
1331,10302,2024-03-24,994.82,Fashion,Social,KL
3726,10802,2024-03-25,543.03,Electronics,Organic,GJ
5665,11199,2024-03-25,597.52,Electronics,Organic,RJ
4122,10876,2024-03-25,449.7,Fashion,Paid,KL
4496,10949,2024-03-25,643.3,Fashion,Social,KA
668,10143,2024-03-25,1009.87,Electronics,Paid,RJ
2757,10590,2024-03-25,624.8,Fashion,Social,DL
1238,10285,2024-03-25,436.57,Fashion,Organic,DL
429,10096,2024-03-25,789.15,Home,Paid,TS
4867,11029,2024-03-25,645.88,Grocery,Paid,GJ
5089,11079,2024-03-25,255.87,Fashion,Organic,RJ
3098,10663,2024-03-25,283.3,Beauty,Organic,DL
4843,11024,2024-03-25,1001.14,Fashion,Referral,KL
1479,10328,2024-03-25,758.53,Electronics,Paid,UP
292,10067,2024-03-26,2208.6,Beauty,Paid,KA
4977,11054,2024-03-26,1101.02,Home,Referral,UP
3253,10702,2024-03-27,1344.49,Beauty,Paid,RJ
4801,11015,2024-03-27,1754.66,Fashion,Social,UP
5208,11107,2024-03-27,737.58,Fashion,Social,UP
3492,10754,2024-03-27,929.08,Accessories,Organic,KA
1616,10356,2024-03-27,643.84,Electronics,Organic,UP
4868,11029,2024-03-27,2416.15,Electronics,Organic,UP
2190,10471,2024-03-28,1591.61,Fashion,Organic,UP
2290,10494,2024-03-28,1888.34,Accessories,Paid,MH
70,10019,2024-03-28,1054.46,Electronics,Organic,WB
1464,10325,2024-03-28,702.03,Fashion,Social,DL
2897,10618,2024-03-28,465.18,Fashion,Paid,UP
3559,10768,2024-03-28,477.44,Electronics,Referral,DL
190,10044,2024-03-29,1123.19,Home,Referral,GJ
3254,10702,2024-03-29,1081.5,Grocery,Social,TS
2631,10564,2024-03-29,410.36,Home,Social,MH
5304,11126,2024-03-29,1140.9,Accessories,Social,TS
2663,10571,2024-03-29,1005.05,Grocery,Organic,WB
1103,10251,2024-03-29,914.99,Fashion,Organic,UP
2024,10441,2024-03-29,177.12,Electronics,Social,TS
3583,10773,2024-03-30,967.71,Grocery,Organic,TN
3595,10777,2024-03-30,664.61,Fashion,Organic,KL
3735,10803,2024-03-30,897.04,Beauty,Social,TN
1052,10241,2024-03-30,599.12,Beauty,Organic,KA
4623,10976,2024-03-30,868.88,Accessories,Organic,TN
739,10158,2024-03-30,329.15,Electronics,Social,WB
393,10089,2024-03-30,310.47,Home,Organic,GJ
339,10076,2024-03-30,966.21,Accessories,Organic,RJ
390,10087,2024-03-30,689.67,Accessories,Organic,GJ
5453,11155,2024-03-30,401.45,Fashion,Organic,UP
4139,10881,2024-03-30,932.56,Fashion,Paid,GJ
4149,10882,2024-03-31,1591.59,Home,Paid,TN
5214,11108,2024-03-31,738.11,Fashion,Social,DL
616,10131,2024-03-31,499.44,Grocery,Referral,WB
5288,11119,2024-03-31,777.97,Electronics,Organic,KA
3884,10835,2024-03-31,375.98,Beauty,Organic,TS
3799,10814,2024-03-31,282.68,Grocery,Paid,KL
3750,10805,2024-04-01,520.27,Accessories,Organic,TS
4797,11014,2024-04-01,293.13,Grocery,Paid,TS
4903,11037,2024-04-01,785.21,Fashion,Social,KA
2349,10506,2024-04-01,704.73,Fashion,Organic,TS
5216,11108,2024-04-01,390.49,Electronics,Paid,TN
21,10006,2024-04-01,407.21,Electronics,Referral,RJ
2718,10581,2024-04-01,658.04,Fashion,Organic,RJ
5358,11137,2024-04-01,823.65,Grocery,Paid,KL
104,10027,2024-04-01,379.95,Fashion,Paid,MH
1379,10312,2024-04-01,581.99,Beauty,Organic,RJ
2136,10461,2024-04-02,2014.29,Beauty,Referral,KA
5234,11112,2024-04-02,588.03,Home,Paid,UP
3206,10691,2024-04-02,105.73,Fashion,Paid,RJ
2059,10446,2024-04-02,792.13,Accessories,Paid,GJ
2712,10580,2024-04-02,1309.26,Home,Organic,GJ
2310,10500,2024-04-03,486.48,Grocery,Organic,UP
2498,10537,2024-04-03,636.34,Beauty,Paid,DL
196,10047,2024-04-03,251.46,Accessories,Paid,DL
3996,10853,2024-04-03,963.23,Home,Social,WB
3195,10687,2024-04-03,1016.56,Accessories,Paid,KL
1680,10370,2024-04-03,275.6,Fashion,Organic,RJ
593,10127,2024-04-03,936.75,Electronics,Organic,TN
4856,11025,2024-04-03,413.11,Fashion,Paid,WB
3534,10762,2024-04-03,858.91,Electronics,Organic,TS
5217,11108,2024-04-03,1057.24,Home,Social,TN
3703,10798,2024-04-03,843.75,Fashion,Social,RJ
2405,10517,2024-04-03,898.81,Beauty,Referral,DL
1364,10309,2024-04-03,326.35,Beauty,Paid,KA
2619,10563,2024-04-03,1504.89,Home,Organic,UP
432,10096,2024-04-03,1021.85,Electronics,Organic,KL
4581,10969,2024-04-03,519.67,Grocery,Social,GJ
2097,10452,2024-04-03,894.26,Accessories,Social,DL
4960,11050,2024-04-04,562.3,Home,Social,WB
3513,10759,2024-04-04,1482.81,Beauty,Paid,DL
4374,10930,2024-04-04,256.16,Home,Organic,GJ
1333,10302,2024-04-04,1840.57,Fashion,Organic,DL
3173,10683,2024-04-04,431.14,Grocery,Organic,KL
3230,10697,2024-04-04,399.17,Fashion,Organic,RJ
61,10018,2024-04-04,694.97,Fashion,Organic,MH
2263,10488,2024-04-04,770.62,Home,Paid,KL
1715,10375,2024-04-05,993.03,Fashion,Social,KA
4451,10940,2024-04-05,1357.79,Home,Organic,KA
4007,10854,2024-04-05,589.11,Fashion,Organic,RJ
1369,10310,2024-04-05,1326.28,Fashion,Paid,KA
1468,10325,2024-04-05,510.1,Grocery,Organic,KA
1252,10288,2024-04-05,260.35,Fashion,Paid,KL
1700,10373,2024-04-05,125.13,Electronics,Organic,TS
3144,10674,2024-04-05,489.55,Electronics,Paid,TS
4008,10854,2024-04-05,294.76,Accessories,Social,DL
1796,10393,2024-04-05,968.34,Beauty,Organic,TN
4271,10908,2024-04-06,244.14,Home,Organic,GJ
4325,10919,2024-04-06,441.7,Fashion,Referral,DL
4054,10864,2024-04-06,390.42,Fashion,Organic,UP
4252,10905,2024-04-06,397.13,Home,Organic,GJ
